Id,SalePrice
2658,199739.4695
2718,166230.8212
2414,192457.9847
1989,122930.7804
625,166770.761
333,111070.3327
1327,108414.8853
858,153701.6596
95,185186.4852
1568,164930.6701
2482,165685.7481
1364,136256.0872
2584,137319.3854
818,299501.9237
2673,173715.0846
2089,95806.77294
1297,149672.5183
790,117962.5014
2616,200583.6289
720,232694.2402
222,132747.6043
557,135526.3736
1148,187490.5779
2766,144881.5924
534,177998.1108
1452,131149.3436
630,133190.2816
2648,132846.2468
125,150767.9397
1904,81473.91985
1670,124722.4722
756,109154.1413
717,275018.7541
1032,148147.2643
852,241966.6859
1731,177189.4812
2639,138297.1157
2071,127118.0568
1267,95343.84347
1851,189386.4296
567,140115.5211
2439,207776.6182
1898,145568.7355
647,169186.7104
2256,216511.0706
979,87343.93133
1444,222398.1341
2485,116492.5801
157,141806.9861
88,127437.1792
2003,108382.4512
186,211985.8185
1425,260226.1845
2695,131688.2367
738,96661.36204
395,154428.625
1353,163826.5512
1878,145155.6508
390,168368.2178
1456,227097.9428
1103,333173.0197
1387,112236.4124
2070,152288.5444
1199,184093.0913
2479,167644.5279
501,326247.6651
2362,95018.51525
1718,184278.7712
2188,78083.13934
1483,141533.72
2557,94511.94119
437,351303.4017
2224,147263.5292
1628,141945.5779
397,140400.8042
587,195939.1615
2182,801691.7489
971,119286.3161
2611,154797.0017
1887,107490.9228
2399,354463.7346
2148,203240.7947
304,149420.0337
1997,135802.8966
2817,134150.7281
1431,181954.5482
427,336771.1629
263,128615.7043
598,162162.3829
2895,244570.1547
687,137656.2035
1822,134849.0974
2191,122879.1867
179,140280.9632
1009,201447.647
2010,132421.9711
1991,138028.3716
1411,192578.0237
1721,260189.5831
1144,188443.8098
593,223280.2454
575,306772.2721
1249,148844.4817
1604,124187.9993
1064,523212.9332
1923,148387.5601
1988,104525.7476
2325,170354.6684
114,195584.0471
2700,182046.3858
217,123760.0942
343,157659.6731
386,235365.3143
2005,95400.22239
2908,134383.029
1814,223859.722
2446,563428.8638
208,144597.5517
1679,109078.1589
822,330985.3599
6,192397.4648
1781,427619.7018
2397,279635.4698
2340,321755.4207
1618,182786.1301
2843,103707.0073
1061,364367.3202
2786,124303.8368
1935,132597.1058
1341,135590.5356
521,278255.6872
2136,133654.1191
996,192655.577
227,131612.5368
135,173604.0104
1167,176594.9097
294,244945.4305
1776,198649.8601
540,171051.8862
1717,184277.2178
2303,135466.5472
116,178961.732
127,145297.7211
1371,151258.8829
1014,109192.3754
1507,75888.20976
702,114851.6316
750,148254.8373
261,165425.6589
1559,89167.61162
577,218141.3348
2812,194787.7754
2080,152776.7682
1368,125683.7777
2376,117362.9915
659,87024.96803
1235,137454.2221
332,72595.0535
1917,142877.8172
2094,233280.5406
1460,295559.5475
1471,209819.4441
1509,139618.8003
1922,136593.6362
433,538322.0422
460,267068.0112
1116,280126.6094
1137,173416.9916
53,189246.4079
2354,261678.9313
1475,222875.2205
1761,634635.2679
842,136818.426
2739,154774.7701
2509,137936.5046
1007,191368.5197
2610,182908.6497
1952,99447.52693
2719,166714.567
2921,105887.6802
1966,123173.3468
292,61013.8134
1204,175496.865
1829,245840.1854
2419,179794.7142
391,140123.5798
798,113774.3814
481,195832.8437
193,231448.4502
555,113963.7604
899,40759.25571
2357,199447.4387
328,134053.9534
1356,131749.362
1154,115609.0419
1730,168111.9337
2249,154578.4874
1119,272448.4904
2856,115954.5685
1394,136826.4924
2587,139378.6994
61,343392.3063
2661,227215.2302
2711,148187.0438
1147,184312.7086
757,136698.9817
2623,104152.8381
2378,147475.7859
1413,151443.4769
1722,236722.5797
1112,208398.6315
1623,193526.7452
1201,176149.0654
1513,128247.0137
957,395811.1868
1171,279088.7902
1145,203554.9936
2726,229531.8786
703,144554.33
760,114737.2488
1964,139722.2869
2512,183196.6292
159,150235.8753
1281,143328.3997
468,169238.0528
290,135619.748
665,130682.4297
1463,271863.9633
1792,218258.1779
923,130396.4819
500,267191.3647
1408,188402.9193
331,85310.00922
170,104950.8291
2192,107341.704
2571,310487.2351
2314,173741.7373
2647,114029.6101
422,441459.2977
2457,356768.8769
1838,188595.1054
2805,246872.8808
1645,171411.2382
1711,297221.9036
2825,254566.2011
322,356926.6882
2103,270044.0581
342,119621.5874
600,130584.8809
488,185858.7578
1725,328986.8475
2246,296911.8819
2847,163546.9886
806,252950.8063
530,228220.7345
963,185606.4815
2678,94179.85451
171,91232.48088
2401,449023.0726
805,220106.9385
2259,227399.8172
1748,168256.4542
1361,138595.9517
1677,123724.6778
1406,146049.9372
2322,224058.7148
688,135998.4755
143,134279.0017
804,194817.4158
1214,153697.5381
2828,144009.9174
1999,223412.7745
2467,180891.1851
2665,155901.9265
1538,349509.1905
398,123219.957
2822,140390.2215
2157,149099.114
1856,173894.2893
1269,100086.6377
2570,112503.9401
2320,230817.0263
1517,165623.8641
2304,122634.9943
1312,106494.3246
2012,134877.6118
506,243024.6409
2865,200104.696
2367,107974.5561
554,58804.37475
238,137989.7694
1954,133242.1476
2488,123478.3576
2291,94032.10622
1969,101525.278
2725,156716.048
1482,141533.72
2763,198369.3557
503,246625.2233
1584,253620.8418
1531,104288.8166
2210,141192.8581
459,359303.6266
556,129979.192
1347,130579.4302
1290,79928.17908
1388,101342.0111
1571,336435.8333
2754,185567.313
765,136770.1179
2494,129999.9481
2870,202106.9526
7,229708.3212
1114,247518.8698
2418,288213.5356
291,84691.38223
18,367412.5475
39,375747.7441
1001,269173.9197
2442,240332.4246
616,95495.39631
2680,73621.57344
1414,151027.8535
289,128341.332
40,260512.48
860,115907.8252
409,125182.7668
673,149643.0586
2427,188820.5723
2036,233074.1631
2564,135816.8382
642,145013.7727
1008,188478.68
1908,123596.7714
2519,192724.1982
1369,108830.4918
2855,146684.6825
712,128497.3386
1943,118835.2411
1958,120246.2769
107,137310.084
2295,192913.7413
704,89866.22666
676,137888.2229
259,186673.3914
93,287350.7735
106,238168.2186
2315,176279.3236
1050,110095.5192
1095,203140.4409
2709,137245.7065
758,188369.2489
1496,165226.5878
2370,130388.2802
2458,286452.4366
2733,116026.2752
161,271174.9112
726,161941.6584
845,222379.361
947,268975.7591
2232,120593.2642
2563,153865.0946
2299,121073.5826
211,63613.15696
605,145304.6936
1478,199268.4853
2247,297157.4235
2274,172029.0744
2869,174514.6101
967,217797.5527
2656,106414.7024
667,189281.2644
1042,105296.6123
2023,148420.6919
2447,403740.7154
2055,112250.5535
2275,305491.412
2204,165534.0557
1563,286277.925
483,211487.2928
796,138527.0314
1526,166242.5231
2042,134166.4702
442,349629.2519
1693,308809.0109
1468,216433.1929
1430,165430.4402
2605,171588.4049
1529,193453.506
335,161626.5348
1287,133271.0664
31,105841.1786
1785,292513.5444
82,162965.0976
2620,129975.2991
252,184437.3578
721,64487.9784
2165,175866.265
2316,181164.5762
775,129427.0774
1558,99728.92679
17,209930.636
1022,235788.1042
925,115969.9902
438,277010.9724
1270,139836.8359
1272,120080.7643
215,131369.1655
266,227576.0682
2402,273988.5171
1250,144801.2056
1984,129986.3682
1279,150501.0656
377,265777.0479
